iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues (y/n)?;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly transmitted AVPs;Deletions;Substitutions;Insertions;PA:CO;PA:PA;PA:FA;PA:IC;#constraints left in agenda;numGoalChanges;indices of provided restaurants;fieldRequestSwooshed;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel used (1=simple, 2=abstract, 3=concrete);barge-in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;class
252;2;90;1;26;Sie haben folgende Auswahlmöglichkeiten: obere, mittlere, oder untere Preisklasse oder keine Präferenz.;;IndicateValue;price;cheap;price;choice;1;12;1;yes;logical;0;1;0;1;0;0;0;1;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;2;AVP-wise-concrete;0;Inform;0;;;;;;worst_simulation
252;3;90;1;26;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;;IndicateValue;field;date;field;open;1;33;1;date;field;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;3;AVP-wise-concrete;0;Provide;0;;hor;;;;worst_simulation
252;4;90;1;26;Die Möglichkeiten lauten wie folgt: die Wochentage, samstags, sonntags oder keine Präferenz.;;IndicateValue;date;tuesday;date;choice;1;12;1;tuesday;date;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;4;AVP-wise-concrete;0;Inform;0;;hor;;;;worst_simulation
252;5;90;1;26;Sie möchten also Dienstag essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;tuesday ;;;;4;AVP-wise-concrete;0;Accept;0;hor;hor4;;;;worst_simulation
252;6;90;1;26;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;;Request;time;evening;time;choice;1;11;1;evening;time;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;tuesday ;;;;5;AVP-wise-concrete;0;Inform;0;hor;hor4;;;;worst_simulation
252;7;90;1;26;Sie möchten also abends essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;;;;5;AVP-wise-concrete;0;Accept;0;hor6;hor6;;;;worst_simulation
252;8;90;1;26;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;;Request;foodtype;greek;foodtype;closed;1;10;1;greek;foodtype;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;;;;6;AVP-wise-concrete;0;Inform;0;hor6;hor6;;;;worst_simulation
252;9;90;1;26;Sie möchten also griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;6;AVP-wise-concrete;0;Accept;0;hor6;hor6;greek;;;worst_simulation
252;10;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;;;0;1;0;0;0;0;1;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;6;AVP-wise-concrete;0;Inform;0;hor6;hor6;greek;;;worst_simulation
252;11;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;cheap;price;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;6;AVP-wise-concrete;0;Inform;0;hor6;hor6;greek;;;worst_simulation
252;12;90;1;26;Sie möchten also in der unteren Preisklasse essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;9;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;;6;AVP-wise-concrete;0;Accept;0;hor6;hor6;greek;prx1;;worst_simulation
252;13;90;1;26;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Arthemis                 Wasserstr. 149  } {Attika                   Massenbergstr. 1} Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;Inform;;;;na;0;27;0;;;;;;;;;;;;; 101 103;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;;6;AVP-wise-concrete;0;EMPTY;0;hor6;hor6;greek;prx1;;worst_simulation
253;1;90;1;26;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;;Request;field;foodtype;field;open;1;46;1;foodtype;field;1;0;0;0;1;0;0;0;;;;1;evening;tuesday;greek;cheap;grumme;;;;;;1;AVP-wise-concrete;0;Provide;0;;;;;;worst_simulation
253;2;90;1;26;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;;IndicateValue;foodtype;greek;foodtype;choice;1;16;1;greek;foodtype;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;2;AVP-wise-concrete;0;Inform;0;;;;;;worst_simulation
253;3;90;1;26;Sie möchten also griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;greek ;;;2;AVP-wise-concrete;0;Accept;0;;hor;greek;;;worst_simulation
253;4;90;1;26;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;;Request;time;evening;time;choice;1;11;1;evening;time;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;greek ;;;3;AVP-wise-concrete;0;Inform;0;;hor;greek;;;worst_simulation
253;5;90;1;26;Sie möchten also abends essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;greek ;;;3;AVP-wise-concrete;0;Accept;0;hor;hor;greek;;;worst_simulation
253;6;90;1;26;An welchem Tag beabsichtigen Sie essen zu gehen? ;;Request;date;tuesday;date;closed;0;8;1;tuesday;date;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;greek ;;;4;AVP-wise-concrete;0;Inform;0;hor;hor;greek;;;worst_simulation
253;7;90;1;26;Sie möchten also Dienstag essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;4;AVP-wise-concrete;0;Accept;0;;;greek;;;worst_simulation
253;8;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;;;0;1;0;0;0;0;1;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;;;greek;;;worst_simulation
253;9;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;yes;logical;0;1;0;1;0;0;0;1;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;;hor;greek;;;worst_simulation
253;10;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;;;0;1;0;0;0;0;1;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;hor;hor;greek;;;worst_simulation
253;11;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;;;closed;0;7;0;;;;;;;;;;;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;HangUp;0;hor;hor;greek;;;worst_simulation
254;1;90;1;26;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;;Request;all;greek grumme cheap evening tuesday;foodtype localization price time date;open;1;46;5;greek,grumme,evening,tuesday;foodtype,localization,time,date;4;1;0;0;0;1;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;5;AVP-wise-concrete;0;Provide;0;;;;;;worst_simulation
254;2;90;1;26;Sie möchten also Dienstag abends in grumme griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;10;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;grumme ;5;AVP-wise-concrete;0;Accept;0;hor6;hor6;greek;;grumme;worst_simulation
254;3;90;1;26;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;;OfferModification;logical;no;logical;choice;0;13;1;no;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;grumme ;5;AVP-wise-concrete;0;Negate;0;hor6;hor6;greek;;grumme;worst_simulation
254;4;90;1;26;Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend!;;Bye;bye;;;na;0;13;0;;;;;;;;;;;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;grumme ;5;AVP-wise-concrete;0;EMPTY;0;hor6;hor6;greek;;grumme;worst_simulation
255;1;90;1;26;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;;Request;field;time;field;open;1;41;1;time;field;1;0;0;0;1;0;0;0;;;;1;evening;tuesday;greek;cheap;grumme;;;;;;1;AVP-wise-concrete;0;Provide;0;;;;;;worst_simulation
255;2;90;1;26;Sie können zwischen den folgenden Möglichkeiten wählen: Mittagessen, Abendessen oder keine Präferenz.;;IndicateValue;time;evening;time;choice;1;12;1;evening;time;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;2;AVP-wise-concrete;0;Inform;0;;;;;;worst_simulation
255;3;90;1;26;Sie möchten also abends essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;;;;2;AVP-wise-concrete;0;Accept;0;hor3;hor;;;;worst_simulation
255;4;90;1;26;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;;Request;foodtype;greek;foodtype;closed;1;10;1;greek;foodtype;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;;;;3;AVP-wise-concrete;0;Inform;0;hor3;hor;;;;worst_simulation
255;5;90;1;26;Sie möchten also griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;greek ;;;3;AVP-wise-concrete;0;Accept;0;hor;hor;greek;;;worst_simulation
255;6;90;1;26;An welchem Tag beabsichtigen Sie essen zu gehen? ;;Request;date;tuesday;date;closed;0;8;1;tuesday;date;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;greek ;;;4;AVP-wise-concrete;0;Inform;0;hor;hor;greek;;;worst_simulation
255;7;90;1;26;Sie möchten also Dienstag essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;4;AVP-wise-concrete;0;Accept;0;;;greek;;;worst_simulation
255;8;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;cheap;price;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;;;greek;;;worst_simulation
255;9;90;1;26;Sie möchten also in der unteren Preisklasse essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;9;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;;5;AVP-wise-concrete;0;Accept;0;;hor;greek;prx1;;worst_simulation
255;10;90;1;26;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Arthemis                 Wasserstr. 149  } {Attika                   Massenbergstr. 1} Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;Inform;;;;na;0;27;0;;;;;;;;;;;;; 101 103;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;;5;AVP-wise-concrete;0;EMPTY;0;hor;hor;greek;prx1;;worst_simulation
256;1;90;1;26;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;;Request;field;localization;field;open;1;41;1;foodtype;field;1;0;0;1;0;0;0;1;;;;1;evening;tuesday;greek;cheap;grumme;;;;;;1;AVP-wise-concrete;0;Provide;0;;;;;;worst_simulation
256;2;90;1;26;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;;IndicateValue;foodtype;greek;foodtype;choice;1;16;1;greek;foodtype;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;2;AVP-wise-concrete;0;Inform;0;;;;;;worst_simulation
256;3;90;1;26;Sie möchten also griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;greek ;;;2;AVP-wise-concrete;0;Accept;0;;hor;greek;;;worst_simulation
256;4;90;1;26;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;;Request;time;evening;time;choice;1;11;1;evening;time;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;greek ;;;3;AVP-wise-concrete;0;Inform;0;;hor;greek;;;worst_simulation
256;5;90;1;26;Sie möchten also abends essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;greek ;;;3;AVP-wise-concrete;0;Accept;0;hor;hor;greek;;;worst_simulation
256;6;90;1;26;An welchem Tag beabsichtigen Sie essen zu gehen? ;;Request;date;tuesday;date;closed;0;8;1;tuesday;date;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;greek ;;;4;AVP-wise-concrete;0;Inform;0;hor;hor;greek;;;worst_simulation
256;7;90;1;26;Sie möchten also Dienstag essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;4;AVP-wise-concrete;0;Accept;0;;;greek;;;worst_simulation
256;8;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;cheap;price;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;;;greek;;;worst_simulation
256;9;90;1;26;Sie möchten also in der unteren Preisklasse essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;9;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;;5;AVP-wise-concrete;0;Accept;0;;hor;greek;prx1;;worst_simulation
256;10;90;1;26;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Arthemis                 Wasserstr. 149  } {Attika                   Massenbergstr. 1} Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;Inform;;;;na;0;27;0;;;;;;;;;;;;; 101 103;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;;5;AVP-wise-concrete;0;EMPTY;0;hor;hor;greek;prx1;;worst_simulation
257;1;90;1;26;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;;Request;all;tuesday greek cheap evening grumme;date foodtype price time localization;open;1;41;5;tuesday,iberian,greek,cheap,foodtype,evening,grumme;date,foodtype,foodtype,price,field,time,localization;5;0;0;2;0;0;0;1;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;5;AVP-wise-concrete;0;Provide;0;;;;;;worst_simulation
257;2;90;1;26;Könnten Sie bitte die gewünschte Art der Küche wiederholen?;;RepetitionRequest;foodtype;greek;foodtype;closed;0;9;1;greek;foodtype;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;iberian greek ;cheap ;grumme ;5;AVP-wise-concrete;0;Inform;0;hor3;hor4;iberian;prx1;grumme;worst_simulation
257;3;90;1;26;Sie möchten also griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek iberian ;cheap ;grumme ;5;AVP-wise-concrete;0;Accept;0;hor6;hor6;greek;prx1;grumme;worst_simulation
257;4;90;1;26;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;;OfferModification;logical;no;logical;choice;0;13;1;;;0;1;0;0;0;0;1;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;grumme ;5;AVP-wise-concrete;0;Negate;0;hor6;hor6;greek;prx1;grumme;worst_simulation
257;5;90;1;26;Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag!;;Bye;bye;;;na;0;13;0;;;;;;;;;;;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;grumme ;5;AVP-wise-concrete;0;EMPTY;0;hor6;hor6;greek;prx1;grumme;worst_simulation
258;1;90;1;26;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;;Request;all;evening cheap greek grumme;time price foodtype localization;open;1;41;4;evening,greek;time,foodtype;2;2;0;0;0;1;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;4;AVP-wise-concrete;0;Provide;0;;;;;;worst_simulation
258;2;90;1;26;Sie möchten also abends griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;7;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;greek ;;;4;AVP-wise-concrete;0;Accept;0;hor3;hor;greek;;;worst_simulation
258;3;90;1;26;An welchem Tag beabsichtigen Sie essen zu gehen? ;;Request;date;tuesday;date;closed;0;8;1;tuesday;date;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;;greek ;;;5;AVP-wise-concrete;0;Inform;0;hor3;hor;greek;;;worst_simulation
258;4;90;1;26;Sie möchten also Dienstag essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Accept;0;hor6;hor6;greek;;;worst_simulation
258;5;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;;;0;1;0;0;0;0;1;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;hor6;hor6;greek;;;worst_simulation
258;6;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;;;0;1;0;0;0;0;1;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;hor6;hor6;greek;;;worst_simulation
258;7;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;;;0;1;0;0;0;0;1;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;hor6;hor6;greek;;;worst_simulation
258;8;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;;;closed;0;7;0;;;;;;;;;;;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;HangUp;0;hor6;hor6;greek;;;worst_simulation
259;1;90;1;26;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;;Request;all;greek tuesday grumme cheap evening;foodtype date localization price time;open;1;41;5;greek,tuesday,evening;foodtype,date,time;3;2;0;0;0;1;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;5;AVP-wise-concrete;0;Provide;0;;;;;;worst_simulation
259;2;90;1;26;Sie möchten also Dienstag abends griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;8;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Accept;0;hor6;hor6;greek;;;worst_simulation
259;3;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;;;0;1;0;0;0;0;1;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;hor6;hor6;greek;;;worst_simulation
259;4;90;1;26;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;cheap;price;closed;0;7;1;cheap,foodtype;price,field;1;0;0;1;0;0;0;1;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;5;AVP-wise-concrete;0;Inform;0;hor6;hor6;greek;;;worst_simulation
259;5;90;1;26;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;;IndicateValue;foodtype;greek;foodtype;choice;1;16;1;greek;foodtype;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;;5;AVP-wise-concrete;0;Inform;0;hor6;hor6;greek;prx1;;worst_simulation
259;6;90;1;26;Sie möchten also griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;;5;AVP-wise-concrete;0;Accept;0;hor6;hor6;greek;prx1;;worst_simulation
259;7;90;1;26;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Arthemis                 Wasserstr. 149  } {Attika                   Massenbergstr. 1} Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;Inform;;;;na;0;27;0;;;;;;;;;;;;; 101 103;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;cheap ;;5;AVP-wise-concrete;0;EMPTY;0;hor6;hor6;greek;prx1;;worst_simulation
260;1;90;1;26;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;;Request;all;cheap greek tuesday;price foodtype date;open;1;41;3;tuesday;date;1;2;0;0;0;1;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;;;;;3;AVP-wise-concrete;0;Provide;0;;;;;;worst_simulation
260;2;90;1;26;Sie möchten also Dienstag essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;tuesday ;;;;3;AVP-wise-concrete;0;Accept;0;hor;hor4;;;;worst_simulation
260;3;90;1;26;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;;Request;time;evening;time;choice;1;11;1;evening;time;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;tuesday ;;;;4;AVP-wise-concrete;0;Inform;0;hor;hor4;;;;worst_simulation
260;4;90;1;26;Sie möchten also abends essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;;;0;1;0;0;0;0;1;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;;;;4;AVP-wise-concrete;0;Accept;0;hor6;hor6;;;;worst_simulation
260;5;90;1;26;Wiederholen Sie bitte die Tageszeit der Mahlzeit.;;RepetitionRequest;time;evening;time;closed;0;7;1;evening;time;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;;tuesday ;;;;4;AVP-wise-concrete;0;Inform;0;hor6;hor6;;;;worst_simulation
260;6;90;1;26;Sie möchten also abends essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;;;;4;AVP-wise-concrete;0;Accept;0;hor6;hor6;;;;worst_simulation
260;7;90;1;26;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;;Request;foodtype;greek;foodtype;closed;1;10;1;greek;foodtype;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;;;;4;AVP-wise-concrete;0;Inform;0;hor6;hor6;;;;worst_simulation
260;8;90;1;26;Sie möchten also griechisch essen gehen?;;ExplicitConfirmation;logical;yes;logical;closed;0;6;1;yes;logical;1;0;0;0;1;0;0;0;;;;0;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;;4;AVP-wise-concrete;0;Accept;0;hor6;hor6;greek;;;worst_simulation
